judul;isi
Batalkan Pemesanan 49 Pesawat 737 Max 8, Dirut Garuda Bertemu Boeing Pekan Depan;"JAKARTA, KOMPAS.com  - Pihak Maskapai  Garuda Indonesia membatalkan pemesanan 49 unit pesawat  Boeing 737 Max 8. Terkait hal itu, Direktur Utama Garuda Indonesia Ari Askhara akan bertemu dengan petinggi perusahaan manufaktur pesawat asal Amerika Serikat Boeing pada pekan depan.
“Minggu depan saya ketemu petinggi Boeing. Mereka akan datang ke Indonesia,” kata Ari seperti dilansir Antara di Jakarta, Jumat (22/3/2019).
Dia mengatakan, pihaknya telah mengajukan pembatalan tersebut, dan kemungkinan juga mengusulkan penggantian dengan jenis pesawat lain.
“Kemungkinan (penukaran) itu ada, tapi saat ini belum mengajukan opsi ke Boeing, baru cancel saja,” katanya.
Baca juga: Garuda Indonesia Kurangi Pemesanan Pesawat Boeing 737 Max 8
Dari total 50 unit pesawat  Boeing 737 Max 8 yang dipesan Garuda, baru satu yang sudah datang dan dioperasikan untuk penerbangan domestik.
Namun, dia mengaku masih belum dibahas terkait satu unit Boeing 737 Max 8 yang sudah beroperasi tersebut. “Belum dibahas,” kata Ari.
Terkait biaya yang sudah dikeluarkan untuk pembelian pesawat tersebut, Ari mengatakan semua dibeli menggunakan skema pembiayaan (leasing). “Kami enggak ada capital expenditure tapi operational expenditure,” katanya.
Menurut dia, pembatalan tersebut karena hilangnya kepercayaan publik terhadap pesawat Boeing 737 Max 8 setelah mengalami dua kali kecelakaan, yakni Lion Air JT 610 dan Ethiophian Airlines ET 302.
Terlebih, sejumlah otoritas penerbangan Uni Eropa dan Amerika Serikat Federal Aviation Administration sudah melarang sementara pengoperasian jenis pesawat tersebut.
Baca juga: Pemerintah RI Resmi Larang Terbang Boeing 737 Max 8"
BRI Perkuat Kerja Sama dengan TNI AD;"KOMPAS.com - PT  Bank Rakyat Indonesia ( BRI) Tbk bersama Markas Besar TNI Angkatan Darat (AD) kembali memperkuat kerja sama dalam bidang penyediaan layanan  perbankan.
Melalui rilis BRI yang diterima oleh tim Kompas.com, Jumat (22/3/2019), terjalinnya kerja sama ini merupakan bagian komitmen BRI dalam memfasilitasi kemudahan transaksi perbankan di lingkup lembaga atau institusi.
Dalam perwujudannya, kerja sama ini lantas disahkan melalui Perjanjian Kerja Sama (PKS) tentang Penggunaan dan Pemberian Jasa Pelayanan Bank bagi Kesatuan  TNI AD.
Penandatanganan PKS tersebut dilakukan oleh Direktur Hubungan Kelembagaan Bank BRI Sis Apik Wijayanto dan Direktur Keuangan Angkatan Darat (AD) Brigadir Jendral (Brigjen) TNI Temas di Markas Besar AD, Jakarta, Kamis (21/3).
Sementara itu, Direktur Utama BRI Suprajarto dan Kepala Staf TNI AD (KASAD) Jenderal TNI Andika Perkasa juga turut hadir bertugas sebagai saksi.
“Kami berupaya memberikan berbagai fasilitas layanan perbankan yang dibutuhkan TNI AD dalam upaya pengelolaan keuangan yang lebih optimal,” ungkap Suprajarto.

Selain itu, melalui kerja sama ini BRI akan pula memberikan fasilitas tambahan bagi prajurit dan pegawai yang berada di lingkungan TNI AD. Mereka dapat menerima gaji dan tunkin melalui tabungan BRI BritAma serta fasilitas pinjaman kepada prajurit dengan suku bunga yang kompetitif.
Para pekerja di lingkungan TNI AD pun nantinya dapat menikmati berbagai produk-produk perkreditan BRI. Diantaranya adalah BRIGuna, KPR BRI, dan KKB BRI.
Dari segi proteksi, BRI memberikan asuransi personal accident atau asuransi kecelakaan diri secara gratis kepada anggota dan pegawai negeri sipil (PNS) di lingkungan satuan TNI AD yang memiliki tabungan BritAma BRI.
Tak berhenti sampai di situ, untuk kesejahteraan anggota prajurit dan PNS TNI AD yang telah pensiun, BRI juga memberikan layanan pengelolaan Dana Pensiun Lembaga Keuangan (DPLK)."
Inflasi Terus Turun di Kuartal 1 2019, Nilai Tukar Cenderung Stabil;"JAKARTA, KOMPAS.com - Gubernur  Bank Indonesia  Perry Warjiyo mengatakan inflasi terus menurun di kuartal 1 tahun ini sehingga menyebabkan  nilai tukar rupiah stabil. Hal tersebut diutarakannya dalam wawancara di komplek Masjid Bank Indonesia, Jumat (22/3/2019).
""Inflasi tetap rendah dan semakin turun. Bulan Januari 2019 hanya sekitar 2,82 persen, Februari 2,57 persen, dan untuk Maret berdasarkan survei pemantauan harga kami minggu ke-3 sebesar 2,47 persen,"" ucap Perry Warjiyo di Komplek Masjid Bank Indonesia, Jumat (22/3/2019).
Berdasarkan pantauan harga Bank Indonesia, Perry menyebut inflasi month to month diperkirakan hanya 0,10 persen, dan year to year sebesar 2,47 persen. Ia juga menyebut, inflasi tahun ini diprediksi akan dibawah 3,5 persen. Karena inflasi yang terus turun, nilai tukar rupiah menjadi stabil.
""Karena kondisi ekonomi kita di dalam negeri inflasinya rendah, untuk nilai tukar kita relatif stabil,"" sebutnya.
Perry mengatakan harga komoditas pun menunjukkan inflasi yang rendah meskipun terdapat kenaikan di beberapa bahan pangan seperti bawang merah, bawang putih, angkutan udara, cabai rawit, dan air minum kemasan.
Untuk daging ayam ras, telur, sayur-mayur beras, dan lain-lain Perry mencatat adanya deflasi (penurunan harga).
""Dari informasi itu, harga-harga tetap rendah terkendali. Kebutuhan pangan cukup terpenuhi, dan juga harga-harga lain,"" kata Perry."
Inflasi Rendah, Gejolak Global Mereda, Kok Suku Bunga Acuan BI Tidak Turun?;"JAKARTA, KOMPAS.com - Bank Indonesia (BI) memilih untuk menahan suku bunga acuan di angka 6 persen. Keputusan itu diambil setelah rapat Dewan Gubernur BI, Jakarta, Kamis (21/3/2019).
Namun keputusan itu mengundang pertanyaan mengapa BI tidak menurunkan suku bunganya.
Sebab inflasi terjaga di bawah 3 persen dan gejolak global juga relatif mereda karena Bank Sentral AS, The Fed memilih untuk menahan suku bunganya.
""Ya itu dia diskresinya Bank Sentral,"" ujar Menteri Koordinator  Darmin Nasution, Jakarta, Jumat (22/3/2019).
Baca juga: BI Tahan Suku Bunga Acuan Tetap 6 Persen
Darmin yakin banyak orang yang ingin Bank Indonesia menurunkan suku bunganya. Sebab penurunan suku bunga bisa membuat bunga di bank-bank lebih rendah.
Darmin juga yakin Otoritas Jasa Keuangan (OJK) akan punya pemikiran yang berbeda dengan BI soal suku bunga.
""Ya itulah memang plus dan minusnya (BI lembaga) independen. Mereka berhitung dengan cara mereka sendiri. Saya tidak mau menebak gimana mereka berpikir,"" kata dia.
Meski mengaku ""ogah"" menebak cara berpikir BI, Darmin mengatakan bahwa kemungkinan kebijakan menahan suku bunga dilandasi upaya menjaga nilai tukar rupiah.
Sebab bila suku bunga tinggi, maka para investor akan tertarik memadukan modalnya ke Indonesia. Aliran masuk modal asing tersebut bisa membuat nilai tukar rupiah kuat.
Sebab aliran modal asing membuat permintaan rupiah kian besar, dengan demikian nilai tukar terhadap dollar AS pun akan menguat.
Tahun lalu BI menaikkan suku bunga hingga 6 kali saat nilai tukar rupiah terpukuk. Hal itu dilakukan agar modal asing masuk (capital inflow) sementara modal yang ada di Indonesia tidak keluar (capital outflow).
Sebelumnya, Bank Indonesia memutuskan menahan untukmempertahankan BI 7-day Reverse Repo Rate (BI7DRR) sebesar 6 persen.
Selain itu suku bunga Deposit Facility juga tetap sebesar 5,25 persen, dan suku bunga Lending Facility sebesar 6,75 persen.
Direktur Eksekutif Departemen Komunikasi BI Onny Widjanarko mengatakan, keputusan tersebut konsisten dengan upaya memperkuat stabilitas eksternal perekonomian, khususnya untuk mengendalikan defisit transaksi berjalan dalam batas yang aman.
Selain itu juga untuk mempertahankan daya tarik aset keuangan domestik. Sementara itu kebijakan suku bunga dan nilai tukar tetap difokuskan pada stabilitas eksternal.
"
"Darmin ke Uni Eropa: Setelah ""You"" Makmur, Apa RI Enggak Boleh Kaya?";"JAKARTA, KOMPAS.com — Menteri Koordinator Perekonomian Darmin Nasution menyatakan bahwa pemerintah tidak gentar dengan  Uni Eropa yang siap membawa persoalan diskriminasi minyak kelapa  sawit (CPO) ke Organisasi Perdagangan Dunia ( WTO).
""Boleh-boleh saja mereka pede (percaya diri). Memangnya ya kan silakan saja (pede), kami enggak risau dengan itu,"" ujarnya di Kantor Kemenko Perekonomian, Jakarta, Jumat (22/10/2019).
""Kami tahu, yakin dia diskriminatif. Coba lihat sudah diskriminatif secara komoditasnya mengapa dikelompokkan sawit itu high risk untuk deforestasi?"" ujar Darmin.
Mantan Gubernur Bank Indonesia itu mengatakan, bila bicara soal deforestasi atau pengulangan hutan, negara-negara Eropa sudah melakukannya sejak 150-200 tahun yang lalu.
Hal itu kata dia terbukti dengan luasan perkebunan bunga matahari di Eropa yang mungkin 20 kali lipat dari lahan yang dipakai untuk perkebunan kelapa sawit.
Seperti diketahui, bunga matahari juga tanaman yang menghasilkan minyak nabati, seperti kelapa sawit.
""Masalahnya dia lakukan itu 150 tahun lalu setelah dia tebangi hutannya. Kemudian dia tiba-tiba bilang sekarang 'kamu enggak boleh'. Lho emangnya setelah you makmur, kita enggak boleh (kaya)?"" kata dia.
Darmin mengatakan, bila Uni Eropa mengadopsi Delegeted Act yang mendiskriminasi CPO, CPO Indonesia dilarang digunakan untuk biodiesel.
Padahal, negara-negara Eropa adalah pasar besar bagi CPO karena konsumsi biodiesel yang tinggi, sedangkan komoditas penghasil minyak nabati lain tidak diterapkan hal yang sama.
Sebelumnya, Duta Besar Uni Eropa untuk Indonesia Vincent Guerend angkat bicara terkait memanasnya hubungan RI dengan Uni Eropa.
Ia menilai rencana Indonesia membawa persoalan CPO ke WTO bisa jadi jalan terbaik yang harus ditempuh untuk menyelesaikan persolan tersebut.
""Saya kira kalau ada ketidaksepakatan dalam perdagangan, ini harus di-challenge di WTO dan ini adalah jalan terbaik,"" ujarnya di kantor Kementerian Luar Negeri, Jakarta, Rabu (20/3/2019)."
Otoritas Penerbangan AS dan Kanada Ragukan Sertifikasi FAA;"JAKARTA, KOMPAS.com - Harapan perusahaan Boeing agar pesawat tipe B737 Max 8 dan 9 yang saat ini dilarang terbang di seluruh dunia dapat segera kembali mengudara kemungkinan tak akan terpenuhi dalam waktu dekat.
Mengutip Kontan.co.id via DW.com, Jumat (22/3/2019) otoritas penerbangan Eropa dan Kanada mengatakan, mereka akan melakukan pemeriksaan sendiri, sekalipun otoritas Amerika Serikat  FAA nantinya sudah mengijinkan pesawat 737 Max terbang lagi.
Setelah jatuhnya pesawat Ethiopian Airlines 10 Maret lalu, beberapa negara langsung bereaksi dan melarang pesawat Boeing tipe 737 Max terbang di ruang udaranya. Namun ketika itu Boeing masih bersikeras bahwa pesawatnya aman. Otoritas penerbangan AS, FAA, juga mengikuti pandangan Boeing dan tidak melarang penerbangan Max 737.
Setelah makin banyak negara memberlakukan larangan terbang, akhirnya Presiden AS Donald Trump bereaksi dan mengeluarkan larangan terbang, yang harus titaati oleh FAA. Sikap FAA dalam insiden ini membuat kredibilitasnya sekarang dipertanyakan.
Otoritas penerbangan Eropa dan Kanada kini menyatakan tidak akan begitu saja menerima penilaian FAA dan akan melakukan kebijakan pengawasan tersendiri. Langkah ini bisa meredam ambisi Boeing yang hingga kini menawarkan pembaruan piranti lunak untuk pesawat yang bermasalah.
Boeing tadinya berhadap bisa menyiapkan ""software update"" sampai hari Senin minggu depan. Setelah itu FAA diharapkan mensertifikasi modifikasi tersebut dan mengijinkan 737 Max terbang lagi.
Biasanya, kebanyakan negara akan mengikuti keputusan FAA dan mengijinkan pernerbangan pesawat yang sudah disertifikasi oleh lembaga itu. Namun reputasi FAA kini makin tersungkur.
Air Canada berencana untuk menghapus  Boeing 737 Max dari jadwal penerbangannya setidaknya sampai 1 Juli mendatang. Beberapa rute yang sebelumnya dilayani dengan pesawat bermasalah itu sekarang dihapus.
Maskapai AS American Airlines, Southwest Airlines, dan United Airlines, yang sedikit lebih tidak bergantung pada 737 Max daripada Air Canada, berusaha mempertahankan jadwal terbang dengan pesawat pengganti. Namun mereka tetap harus membatalkan beberapa penerbangan.
Setelah jatuhnya pesawat Lion Air B737 Max 8 pada 29 Oktober lalu di Indonesia, banyak indikasi sudah mengarah pada masalah software yang mengendalikan penerbangan, ketika satu sensor di hidung pesawat yang mengukur sudut terbang tidak berfungsi. Boeing ketika itu mulai memperbaiki softwarenya, namun bersikeras pesawatnya tetap aman untuk terbang.
Otoritas penerbangan AS FAA ketika itu juga menyatakan bahwa pesawat itu aman untuk diterbangkan, sampai pesawat Ethiopian Airlines jatuh dekat Addis Abeba dua minggu lalu. Data satelit menunjukkan bahwa pesawat itu bereaksi seperti pesawat Lion Air tidak lama setelah lepas landas, dan akhirnya menukik tanpa kendali ke laut.
Penanganan masalah 737 Max oleh FAA setelah jatuhnya pesawat Ethiopian Airlines merusak reputasinya di antara regulator penerbangan lainnya, kata James Hall, mantan ketua Dewan Keselamatan Transportasi Nasional AS.
""FAA harus lebih transparan tentang penyelidikannya, dan harus mewajibkan pilot berlatih untuk Max pada simulator penerbangan"", kata Hall, karena ""itulah cara pilot berlatih hari ini, bukan pada iPad.""
Untuk menghemat biaya dan mempercepat prosedur pengiriman pesawat baru, Boeing diberitakan hanya melakukan pelatihan cepat lewat iPad untuk tipe 737 Max. Namun FAA tetap memberikan ijin beroperasi untuk pesawat ini.
Sekarang Departemen Kehakiman AS melakukan investigasi baik terhadap Boeing maupun terhadap FAA. Kedua pihak juga dipanggil menghadap Komisi di Senat AS 27 Maret mendatang untuk memberi keterangan tentang 737 Max.
Menteri Transportasi AS Elaine Chao secara resmi menugaskan pejabatnya untuk mengaudit penanganan FAA dalam kecelakaan Lion Air maupun Ethiopian Airlines. Polisi federal FBI kini juga dilibatkan dalam investigasi sistem pengawasan dan sertifikasi di FAA dan pada perusahaan Boeing.
Boeing sendiri menolak berkomentar mengenai hal itu. Pesawat 737 Max adalah versi terbaru yang paling hemat bahan bakar dan dimaksudkan untuk mengganti Boeing 737 lama yang sudah berusia setengah abad dan merupakan pesawat terlaris Boeing. Sekarang, kontrak penjualan untuk sekitar 4600 pesawat 737 Max yang sudah dipesan berbagai maskapai penerbangan, dibekukan untuk sementara.

Artikel ini telah tayang di Kontan.co.id dengan judul: Otoritas Penerbangan Eropa dan Kanada Ragukan Sertifikasi FAA"
RI Didiskriminasi soal CPO, Uni Eropa Klaim Telah Patuhi WTO;"JAKARTA, KOMPAS.com - Uni Eropa mengklaim sudah mematuhi aturan Organisasi Perdagangan Dunia ( WTO) terkait Delegeted Act, aturan yang ditentang oleh Indonesia.
Delegeted Act ditentang Indonesia  karena melarang CPO digunakan untuk biofuel. CPO juga dimasukkan sebagai komoditas berisiko tinggi.
""Kami menganggap RED II (Renewable Energy Directive) dan Delegated Act sudah sesuai dengan WTO,"" tulis Uni Eropa dalam siaran persnya, Jumat (22/3/2019).
Uni Eropa mengatakan, Delegeted Act merupakan turunan dari REDII yang mengamatkaan pengurangan bertahap biofuel dari jenis tertentu dalam pemenuhan target energi terbarukan pada 2024.
Uni Eropa menyebut Delegated Act  didasarkan pada data ilmiah terbaik yang tersedia (2008-2015).
Dari data itu, Uni Eropa menyebut terdapat kaitan antara  kelapa sawit dan tingkat deforestasi tertinggi dari 2008-2015. Sebanyak 45 persen dari ekspansi kelapa sawit disebut terjadi di daerah dengan cadangan karbon tinggi.
Uni Eropa menilai REDII dan Delegated Act memenuhi aturan WTO karena menetapkan kriteria keberlanjutan untuk biofuel dan biomassa yang bersifat global, obyektif dan tidak diskriminatif.
Selain itu kriteria keberlanjutan REDII juga diklaim tidak membatasi akses pasar biofuel impor ke Uni Eropa.
""Aturan pelaksanaan dari Komisi Eropa ini bukan suatu awal maupun akhir dari proses kebijakan,"" kata Vincent Guérend, Duta Besar Uni Eropa untuk Indonesia.
""Ini merupakan satu lagi langkah dalam perjalanan panjang dan bersama menuju pembangunan berkelanjutan dan netralitas karbon,""  sambung dia.
Sebelumnya, pemerintah menyampaikan keberatan atas draf Delegeted Act dari Komisi Eropa yang mengklasifikasikan minyak kelapa sawitsebagai komoditas tidak berkelanjutan dan berisiko tinggi.
Dalam waktu dua bulan paling lama, parlemen Uni Eropa akan mengambil keputusan terkait Delegeted Act tersebut apakah akan diadopsi atau tidak.
Namun Menteri Perekonomian Darmin Nasution menegaskan, pemerintah tak segan melaporkan persoalan ini ke WTO bila Uni Eropa benar-benar mengadopsi Delegeted Act tersebut."
Kemenhub Dukung Implementasi Traffic Separation Scheme di Selat Sunda dan Lombok;"JAKARTA, KOMPAS.com - Kemenhub melalui Direktorat Kesatuan Penjagaan Laut dan Pantai (KPLP) siap mengawal implementasi Traffic Separation Scheme (TSS) di  Selat Sunda dan Selat Lombok sebagaimana yang diminta oleh International Maritime Organization (IMO) pada Januari 2019 lalu.
Pengawalan ini dilakukan dengan berbagai macam upaya seperti patroli dan menyiapkan quick response team termasuk di area yang dekat dengan Particularly Sensitive Sea Area (PSSA).
“Sejak awal kami telah mempersiapkan jajarannya untuk mengawal implementasi TSS dengan melaksanakan patroli serta menyiapkan quick response team terkait dengan kecelakaan/musibah pelayaran termasuk di area yang dekat dengan PSSA di area Gili Trawangan Lombok dan sekitarnya,” ujar Direktur KPLP Ahmad dalam siaran pers, Jumat (22/3/2019).
Menurut Ahmad, patroli di perairan Selat Sunda dan Selat Lombok akan terus dilaksanakan karena KPLP memiliki fungsi komando dalam penegakan aturan. Apalagi, IMO terus memonitor pelaksanaan dan implementasinya.
“Selain itu, KPLP juga memiliki fungsi komando dalam penegakan aturan di bidang keselamatan dan keamanan pelayaran. Karenanya, pelaksanaan patroli di perairan Selat Sunda dan Lombok akan terus kami laksanakan mengingat IMO terus memonitor pelaksanaan dan implementasinya,” kata Ahmad.
Mengenai pembentukan quick response team, nantinya akan dilaksanakan secara terpadu dan didukung oleh Pangkalan PLP, Distrik Navigasi, Stasiun Radio Pantai (SROP) dan pihak terkait lainnya.
Selain mempersiapkan patroli dan quick response team, KPLP juga melakukan persiapan pemenuhan sarana dan prasarana penunjang keselamatan pelayaran di area TSS.
Pengawalan ini sudah menjadi tugas bersama bagi Indonesia sampai diadopsi pada Sidang IMO Maritime Safety Committee (MSC) ke-101 Juni 2019 mendatang, dan mulai diberlakukan pada Juni 2020.
Untuk itu diperlukan koordinasi dan konsolidasi secara intensif dengan para instansi terkait.
“Untuk itu, diperlukan koordinasi dan konsolidasi secara intensif dengan para instansi dan stakeholder terkait untuk bersama-sama mempersiapkan dengan baik, agar TSS di Selat Sunda dan Selat Lombok ini dapat secara resmi diimplementasikan dengan baik dan lancar pada tahun 2020 mendatang,” imbuh Ahmad."
Kemenhub Kerahkan Satu Kapal untuk Angkut Bantuan ke Sentani;"JAKARTA, KOMPAS.com - Kementerian Perhubungan ( Kemenhub) mengerahkan satu unit  Kapal Kenavigasian KN Bepondi untuk mengangkut bantuan kemanusiaan bagi korban  banjir bandang di  Sentani, Jayapura, Papua.
Direktur Jenderal Perhubungan Laut, R Agus H Purnomo mengatakan bahwa pihaknya telah menginstruksikan Unit Pelaksana Teknis (UPT) di lingkungan Ditjen Perhubungan Laut khususnya di wilayah Papua dan Papua Barat untuk segera memberikan bantuan kemanusiaan ke wilayah yang terdampak banjir bandang di Sentani, Jayapura.
""Saya beserta jajaran Ditjen Perhubungan Laut turut bersimpati atas musibah banjir bandang yang terjadi di Kabupaten Sentani, Jayapura pada beberapa waktu lalu. Saya juga menginstruksikan agar UPT Ditjen Perhubungan Laut di wilayah Papua dan sekitarnya untuk memberikan bantuan kepada para korban yang terdampak banjir bandang,"" ujar Agus dalam keterangan tertulisnya, Jumat (22/3/2019).
Baca juga: BRI Salurkan Bantuan Rp 150 Juta untuk Korban Banjir Bandang Sentani
Kapal Kenavigasian KN Bepondi yang mengangkut bantuan kemanusiaan telah tiba di pesisir Distrik Rafenirara, salah satu distrik di Kabupaten Sentani, Jayapura yang terkena dampak banjir bandang.
""Bantuan pertama dari Majelis Rakyat Papua (MRP) dan sumbangan dari Disnav Jayapura telah diangkut dengan  kapal Kenavigasian KN. Bepondi yang tiba semalam dan langsung disalurkan ke korban banjir bandang di distrik Rafenirara hari ini,"" kata Agus.
Sementara itu, Kepala Kantor Distrik Navigasi Kelas II Jayapura, Heston Simanjuntak mengatakan bahwa sesuai instruksi Dirjen Perhubungan Laut, pihaknya langsung berkoordinasi dengan Pemda setempat dan stakeholder terkait untuk bersama-sama memberikan bantuan kemanusiaan.
Baca juga: Tak Terdampak Banjir, Bandara Sentani Beroperasi Normal
""Beberapa waktu lalu, Majelis Rakyat Papua mengirimkan surat kepada kami untuk meminta bantuan kapal guna mengangkut barang-barang sembako ke wilayah yang terdampak banjir bandang dan hari ini barang-barang tersebut disalurkan ke korban banjir bandang di distrik Rafenirara,"" kata Heston.
Selain itu, Distrik Navigasi Jayapura juga memberikan bantuan speed boat untuk dioperasikan di danau Sentani mengingat air di danau masih tinggi sehingga dibutuhkan speed boat untuk mobilisasi bantuan.
Lebih lanjut menurut Heston, Distrik Navigasi Jayapura membuka posko bantuan kemanusiaan untuk korban banjir bandang Sentani dan menerima sumbangan dari masyarakat untuk selanjutnya akan diangkut dengan kapal Kenavigasian.
Selain membuka Posko Bantuan Kemanusiaan di Distrik Navigasi Jayapura, Kantor Kesyahbandaran dan Otoritas Pelabuhan (KSOP) Kelas II Jayapura juga membuka posko bantuan kemanusiaan untuk korban banjir bandang Sentani, Jayapura."
Melihat Cara Leonardo DiCaprio Berinvestasi untuk Lingkungan;"NEW YORK, KOMPAS.com - Aktor kenamaan  Leonardo DiCaprio kini memiliki peran baru, yakni sebagai  investor dan penasihat perusahaan keuangan yang  ramah lingkungan.
Perusahaan itu bernama Aspiration, yang menyediakan konsumen dengan alternatif sadar sosial terhadap bank tradisional.
""Setiap tahun, sekitar 100 miliar dollar AS, pipa, pengeboran dan proyek ekstraksi bahan bakar fosil lainnya didanai dengan uang yang disimpan di bank tradisional,"" kata DiCaprio,  dilansir CNBC, Jumat (22/3/2019).
“Untuk menghadirkan solusi jangka panjang bagi planet kita, kita membutuhkan alternatif yang memberdayakan konsumen setiap hari untuk mengambil tindakan terhadap perubahan iklim,” imbuhnya.
Baca juga: Usai Dipuji Leonardo DiCaprio, Menteri Susi Tidur Pulas di Bandara New York
Investasi ini merupakan yang terbaru dari serangkaian kegiatan sadar lingkungan yang dilakukan aktor tersebut. DiCaprio baru-baru ini menandatangani kontrak untuk menjadi penasihat dana teknologi iklim yang dimiliki oleh perusahaan modal ventura Princeville Capital.
Ia juga menjabat sebagai penasihat untuk Bluon Energy yang berkecimpung di bidang efisiensi energi.
Dengan masuknya  investasi DiCaprio, Aspiration kini telah mengantongi pendanaan lebih dari 100 juta dollar AS melalui skema modal ventura dan investor individu.
Baca juga: Dorong Ekonomi Berbasis Lingkungan, Leonardo DiCaprio Bertemu Trump
Perusahaan ini dipimpin oleh Andrei Cherny, yang ikut mendirikan perusahaan pada 2015 setelah sebelumnya berkarier pada bidang kebijakan yang berkaitan dengan masalah iklim dan sosial. Ia juga pernah bekerja untuk mantan Wakil Presiden AS Al Gore.
""Membunyikan alarm di sekitar perubahan iklim pada saat tidak ada yang mendengarkan,"" kata Cherny.
Hari ini, Aspiration fokus pada pengembangan produk bernama Spend & Save, sebuah alternatif untuk produk tabungan tradisional yang diluncurkan pada bulan Februari lalu."
