Provinsi, SD, SMP, SMA, SMK
Aceh,3422,1074,506,198
Sumatra Utara,9557,2451,1043,951
Sumatra Barat,4139,777,312,199
Riau,3605,1105,422,273
Jambi,2442,643,221,168
Sumatera Selatan, 4646, 1277, 584, 282
Bengkulu, 1364, 415, 134, 90
Lampung, 4641, 1314, 471, 433
Kep. Bangka Belitung, 802, 205, 66, 54
Kep. Riau, 904, 331, 118, 90
DKI Jakarta, 2522, 1091, 480, 585
Jawa Barat, 19793, 4878, 1520, 2705
Jawa Tengah, 19040, 3243, 856, 1547
DI Yogyakarta, 1842, 432, 161, 219
Jawa Timur, 19315, 4480, 1491, 1904
Banten, 4535, 1363, 511, 642
Bali, 2442, 402, 160, 176
Nusa Tenggara Barat, 3156, 857, 312, 290
Nusa Tenggara Timur, 4998, 1581, 499, 260
Kalimantan Barat, 4349, 1250, 402, 187
Kalimanta Tengah, 2606, 796, 232, 129
Kalimantan Selatan, 2901, 588, 184, 121
Kalimantan Timur, 1838, 606, 214, 214
Kalimantan Utara, 460, 161, 57, 28
Sulawesi Utara, 2219, 704, 217, 178
Sulawesi Tengah, 2869, 812, 204, 173
Sulawesi Selatan, 6384, 1617, 569, 428
Sulawesi Tenggara, 2298, 730, 284, 144
Gorontalo, 931, 324, 58, 55
Sulawesi Barat, 1311, 338, 81, 121
Maluku, 1725, 599, 263, 105
Maluku Utara, 1245, 443, 179, 111
Papua Barat, 966, 280, 116, 51
Papua, 2236, 596, 217, 125
